,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,authorLabel,combinedGenres,birthDate,combinedNationalityOrLanguage,topBooks,author_id,genres_list,books_list
674,674,674,697,Israel Joshua Singer,Prose,1893-11-30,Yiddish language,The Brothers Ashkenazi,Israel Joshua Singer,['Prose'],['The Brothers Ashkenazi']
675,675,675,698,Ivan Bunin,"fiction, poetry, memoirs, criticism, translations",1870-10-22,,"Dark Avenues, The Gentleman from San Francisco, The Life of Arseniev, The Village (Ivan Bunin novel)",Ivan Bunin,"['Fiction', 'Poetry', 'Memoirs', 'Criticism', 'Translations']","['Dark Avenues', 'The Gentleman From San Francisco', 'The Life Of Arseniev', 'The Village Ivan Bunin Novel']"
676,676,676,699,Ivan Panin,Literature,1855-12-12,,Pantheism,Ivan Panin,['Literature'],['Pantheism']
677,677,677,700,Ivan Turgenev,Short story,1818-11-09,,"A Month in the Country (play), A Sportsman's Sketches, Fathers and Sons (novel), Home of the Gentry",Ivan Turgenev,['Short Story'],"['A Month In The Country Play', 'A Sportsmans Sketches', 'Fathers And Sons Novel', 'Home Of The Gentry']"
678,678,678,701,J. E. Harold Terry,", comedy, detective, drama, spy",1885-09-21,,The Man Who Stayed at Home (play),J. E. Harold Terry,"['Comedy', 'Detective', 'Drama', 'Spy']",['The Man Who Stayed At Home Play']
679,679,679,702,J. G. Ballard,"Dystopian fiction, Satire, Science fiction, Transgressive fiction",1930-11-15,,"Crash (Ballard novel), Empire of the Sun, High-Rise (novel), The Atrocity Exhibition",J. G. Ballard,"['Dystopian Fiction', 'Satire', 'Science Fiction', 'Transgressive Fiction']","['Crash Ballard Novel', 'Empire Of The Sun', 'Highrise Novel', 'The Atrocity Exhibition']"
680,680,680,703,J. G. Farrell,Novel,1935-01-25,,"The Siege of Krishnapur, Troubles (novel)",J. G. Farrell,['Novel'],"['The Siege Of Krishnapur', 'Troubles Novel']"
681,681,681,704,J. M. Barrie,Fantasy,1860-05-09,,"Peter and Wendy, The Admirable Crichton, The Little White Bird",J. M. Barrie,['Fantasy'],"['Peter And Wendy', 'The Admirable Crichton', 'The Little White Bird']"
682,682,682,705,J. M. G. Le Clézio,The African (essay),1940-04-13,,"Désert (novel), Le Procès-Verbal",J. M. G. Le Clézio,['The African Essay'],"['Dsert Novel', 'Le Procsverbal']"
683,683,683,706,Jacek Dukaj,science-fiction,1974-07-30,Polish language,"Czarne oceany, Lód, Perfekcyjna niedoskonałość, The Cathedral (Dukaj short story), The Old Axolotl",Jacek Dukaj,['Sciencefiction'],"['Czarne Oceany', 'Ld', 'Perfekcyjna Niedoskonao', 'The Cathedral Dukaj Short Story', 'The Old Axolotl']"
684,684,684,707,Jack Bickham,Novel,1930-09-02,,The Apple Dumpling Gang,Jack Bickham,['Novel'],['The Apple Dumpling Gang']
685,685,685,708,Jack Finney,"Comedy, Noir fiction, Science fiction, Thrillers",1911-10-02,,"The Body Snatchers, Time and Again (Finney novel)",Jack Finney,"['Comedy', 'Noir Fiction', 'Science Fiction', 'Thrillers']","['The Body Snatchers', 'Time And Again Finney Novel']"
686,686,686,709,Jack Gantos,comics,1951-07-02,,"Dead End in Norvelt, Hole in My Life, Joey Pigza, Rotten Ralph",Jack Gantos,['Comics'],"['Dead End In Norvelt', 'Hole In My Life', 'Joey Pigza', 'Rotten Ralph']"
687,687,687,710,Jack Higgins,"Mystery fiction, Spy fiction, Thriller (genre)",1929-07-27,,"A Prayer for the Dying, Angel of Death (novel), Day of Reckoning (novel), Flight of Eagles, The Eagle Has Flown, The Eagle Has Landed (novel), Thunder Point",Jack Higgins,"['Mystery Fiction', 'Spy Fiction', 'Thriller Genre']","['A Prayer For The Dying', 'Angel Of Death Novel', 'Day Of Reckoning Novel', 'Flight Of Eagles', 'The Eagle Has Flown', 'The Eagle Has Landed Novel', 'Thunder Point']"
688,688,688,711,Jack Vance,"Fantasy literature, Mystery fiction",1916-08-28,,Dying Earth,Jack Vance,"['Fantasy Literature', 'Mystery Fiction']",['Dying Earth']
689,689,689,712,Jackie French,Historical fiction,1953-11-29,,"Diary of a Wombat, Hitler's Daughter, Rain Stones, Somewhere Around the Corner, To the Moon and Back (book)",Jackie French,['Historical Fiction'],"['Diary Of A Wombat', 'Hitlers Daughter', 'Rain Stones', 'Somewhere Around The Corner', 'To The Moon And Back Book']"
690,690,690,713,Jacqueline Carey,Fantasy,1964-10-09,,Kushiel's Legacy,Jacqueline Carey,['Fantasy'],['Kushiels Legacy']
691,691,691,714,Jacqueline Wilson,Realism (arts),1945-12-17,,"Candyfloss (novel), Cookie (novel), Double Act (novel), Hetty Feather, Love Frankie, The Story of Tracy Beaker",Jacqueline Wilson,['Realism Arts'],"['Candyfloss Novel', 'Cookie Novel', 'Double Act Novel', 'Hetty Feather', 'Love Frankie', 'The Story Of Tracy Beaker']"
692,692,692,715,Jacqueline Woodson,Young adult fiction,1963-02-12,,"After Tupac and D Foster, Brown Girl Dreaming, Feathers (novel), Miracle's Boys (novel), Show Way",Jacqueline Woodson,['Young Adult Fiction'],"['After Tupac And D Foster', 'Brown Girl Dreaming', 'Feathers Novel', 'Miracles Boys Novel', 'Show Way']"
693,693,693,716,Jacques Vriens,"Children's fiction, theater",1946-03-26,Dutch,Achtste-groepers huilen niet,Jacques Vriens,"['Childrens Fiction', 'Theater']",['Achtstegroepers Huilen Niet']
694,694,694,717,Jade Snow Wong,autobiography,1922-01-21,,Fifth Chinese Daughter,Jade Snow Wong,['Autobiography'],['Fifth Chinese Daughter']
695,695,695,718,Jake Adelstein,True crime,1969-03-28,Americans,Tokyo Vice,Jake Adelstein,['True Crime'],['Tokyo Vice']
696,696,696,719,Jamaica Kincaid,"Fiction, memoir, essays",1949-05-25,,"A Small Place, Annie John, Lucy (novel)",Jamaica Kincaid,"['Fiction', 'Memoir', 'Essays']","['A Small Place', 'Annie John', 'Lucy Novel']"
697,697,697,720,James A. Michener,Historical fiction,1907-02-03,,Tales of the South Pacific,James A. Michener,['Historical Fiction'],['Tales Of The South Pacific']
698,698,698,721,James Alan McPherson,Fiction,1943-09-16,,Elbow Room (short story collection),James Alan McPherson,['Fiction'],['Elbow Room Short Story Collection']
699,699,699,722,James Allen (author),Non-fiction,1864-11-28,English language,As a Man Thinketh,James Allen (author),['Nonfiction'],['As A Man Thinketh']
700,700,700,723,James Dashner,"Children's literature, Fantasy literature, Science fiction",1972-11-26,,"The 13th Reality, The Maze Runner",James Dashner,"['Childrens Literature', 'Fantasy Literature', 'Science Fiction']","['The 13Th Reality', 'The Maze Runner']"
701,701,701,724,James Duncan Lawrence (author),Children's literature,1918-10-22,,Tom Swift,James Duncan Lawrence (author),['Childrens Literature'],['Tom Swift']
702,702,702,725,James E. Gunn,Science fiction,1923-07-12,English,The Road to Science Fiction,James E. Gunn,['Science Fiction'],['The Road To Science Fiction']
703,703,703,726,James Ellroy,"Crime fiction, Historical fiction, Mystery fiction, Noir fiction",1948-03-04,,"L.A. Quartet, Lloyd Hopkins Trilogy, My Dark Places (book), Underworld USA Trilogy",James Ellroy,"['Crime Fiction', 'Historical Fiction', 'Mystery Fiction', 'Noir Fiction']","['La Quartet', 'Lloyd Hopkins Trilogy', 'My Dark Places Book', 'Underworld Usa Trilogy']"
704,704,704,727,James Fenimore Cooper,Historical fiction,1789-09-15,,The Last of the Mohicans,James Fenimore Cooper,['Historical Fiction'],['The Last Of The Mohicans']
705,705,705,728,James H. McClure,Mystery fiction,1939-10-09,,Kramer and Zondi,James H. McClure,['Mystery Fiction'],['Kramer And Zondi']
706,706,706,729,James Herbert,"Dark fantasy, Horror fiction, Science fiction, Thriller fiction",1943-04-08,,"The Fog (novel), The Rats (novel)",James Herbert,"['Dark Fantasy', 'Horror Fiction', 'Science Fiction', 'Thriller Fiction']","['The Fog Novel', 'The Rats Novel']"
707,707,707,730,James Kelman,Stream of consciousness,1946-06-09,,"A Disaffection, How Late It Was, How Late, Kieron Smith, Boy",James Kelman,['Stream Of Consciousness'],"['A Disaffection', 'How Late It Was', 'How Late', 'Kieron Smith', 'Boy']"
708,708,708,731,James Krüss,Children's literature,1926-05-31,,Timm Thaler (novel),James Krüss,['Childrens Literature'],['Timm Thaler Novel']
709,709,709,732,James Lowder,"Dark fantasy, Horror fiction",1963-01-02,,Knight of the Black Rose,James Lowder,"['Dark Fantasy', 'Horror Fiction']",['Knight Of The Black Rose']
710,710,710,733,James M. Ward,"Fantasy, Role-playing game",1951-05-23,English,"Deities & Demigods, Gamma World, Greyhawk Adventures, Metamorphosis Alpha, Pool of Radiance (novel)",James M. Ward,"['Fantasy', 'Roleplaying Game']","['Deities  Demigods', 'Gamma World', 'Greyhawk Adventures', 'Metamorphosis Alpha', 'Pool Of Radiance Novel']"
711,711,711,734,James McBride (writer),Memoir; screenplay,1957-09-11,,"The Color of Water, The Good Lord Bird",James McBride (writer),['Memoir Screenplay'],"['The Color Of Water', 'The Good Lord Bird']"
712,712,712,735,James Merrill,American poetry,1926-03-03,,"Divine Comedies, The Changing Light at Sandover",James Merrill,['American Poetry'],"['Divine Comedies', 'The Changing Light At Sandover']"
713,713,713,736,James Patrick Kelly,"Fantasy, Science fiction",1951-04-11,,"10^16 to 1, Burn (novella), Think Like a Dinosaur",James Patrick Kelly,"['Fantasy', 'Science Fiction']","['1016 To 1', 'Burn Novella', 'Think Like A Dinosaur']"
714,714,714,737,James Patterson,"Comedy, Mystery fiction, Realistic fiction, Romance novel, Science fiction, Thriller (genre), Young adult fiction",1947-03-22,,"Alex Cross (novel series), I Funny, Maximum Ride, Michael Bennett (book series), Middle School: The Worst Years of My Life, Women's Murder Club (book series)",James Patterson,"['Comedy', 'Mystery Fiction', 'Realistic Fiction', 'Romance Novel', 'Science Fiction', 'Thriller Genre', 'Young Adult Fiction']","['Alex Cross Novel Series', 'I Funny', 'Maximum Ride', 'Michael Bennett Book Series', 'Middle School The Worst Years Of My Life', 'Womens Murder Club Book Series']"
715,715,715,738,James Ransome (illustrator),Picture books,1961-09-25,English,Before She Was Harriet,James Ransome (illustrator),['Picture Books'],['Before She Was Harriet']
716,716,716,739,James Robert Baker,Satire,1947-10-18,,Tim and Pete,James Robert Baker,['Satire'],['Tim And Pete']
717,717,717,740,James Still (playwright),"Comedy, Drama",1959-05-31,United States,"The Little Bear Movie, The Velocity of Gary",James Still (playwright),"['Comedy', 'Drama']","['The Little Bear Movie', 'The Velocity Of Gary']"
718,718,718,741,James Thurber,Gag cartoon,1894-12-08,,"My Life and Hard Times, My World and Welcome to It (book), The Catbird Seat, The Secret Life of Walter Mitty",James Thurber,['Gag Cartoon'],"['My Life And Hard Times', 'My World And Welcome To It Book', 'The Catbird Seat', 'The Secret Life Of Walter Mitty']"
719,719,719,742,James White (author),Science fiction,1928-04-07,,"Second Ending, Sector General, The Escape Orbit",James White (author),['Science Fiction'],"['Second Ending', 'Sector General', 'The Escape Orbit']"
720,720,720,743,Jamie Ford,"Literary fiction, historical fiction, speculative fiction",1968-07-09,English,Hotel on the Corner of Bitter and Sweet,Jamie Ford,"['Literary Fiction', 'Historical Fiction', 'Speculative Fiction']",['Hotel On The Corner Of Bitter And Sweet']
721,721,721,744,Jamie O'Neill,Historical fiction,1962-01-01,Irish people,"At Swim, Two Boys",Jamie O'Neill,['Historical Fiction'],"['At Swim', 'Two Boys']"
722,722,722,745,Jamie Scallion,Young-adult novels,1978-11-01,,The Rock 'n' Roll Diaries,Jamie Scallion,['Youngadult Novels'],['The Rock N Roll Diaries']
723,723,723,746,Jan Mark,Children's literature,1943-06-22,British people,"Handles (novel), Thunder and Lightnings",Jan Mark,['Childrens Literature'],"['Handles Novel', 'Thunder And Lightnings']"
724,724,724,747,Jan Neruda,Literary realism,1834-07-10,Czechs,Povídky malostranské,Jan Neruda,['Literary Realism'],['Povdky Malostransk']
725,725,725,748,Jan Pieńkowski,Movable books,1936-08-08,,"Meg and Mog, Pop-up book",Jan Pieńkowski,['Movable Books'],"['Meg And Mog', 'Popup Book']"
726,726,726,749,Jan de Hartog,"Non-fiction, Creative non-fiction, and fiction",1914-04-22,,"The Captain (1967 novel), The Peaceable Kingdom: An American Saga",Jan de Hartog,"['Nonfiction', 'Creative Nonfiction', 'And Fiction']","['The Captain 1967 Novel', 'The Peaceable Kingdom An American Saga']"
727,727,727,750,Jandy Nelson,"Children's books, Novels, Teenager",1965-11-25,,"I'll Give You the Sun, The Sky Is Everywhere",Jandy Nelson,"['Childrens Books', 'Novels', 'Teenager']","['Ill Give You The Sun', 'The Sky Is Everywhere']"
728,728,728,751,Jane Roberts,Paranormal,1929-05-08,,"The Oversoul Seven Trilogy, The Seth Material",Jane Roberts,['Paranormal'],"['The Oversoul Seven Trilogy', 'The Seth Material']"
729,729,729,752,Jane Rule,"Essays, Fiction, Non-fiction",1931-03-28,,Desert of the Heart,Jane Rule,"['Essays', 'Fiction', 'Nonfiction']",['Desert Of The Heart']
730,730,730,753,Jane Wells Webb Loudon,Science fiction,1807-08-19,,The Mummy!,Jane Wells Webb Loudon,['Science Fiction'],['The Mummy']
731,731,731,754,Jane Werner Watson,Children's literature,1915-07-11,,Little Golden Books,Jane Werner Watson,['Childrens Literature'],['Little Golden Books']
732,732,732,755,Janet Fitch,Literary Fiction,1955-11-09,,White Oleander,Janet Fitch,['Literary Fiction'],['White Oleander']
733,733,733,756,Janet Kitz,"Canadian history, History of Nova Scotia",1930-01-12,Canadians,Shattered City: The Halifax Explosion and the Road to Recovery,Janet Kitz,"['Canadian History', 'History Of Nova Scotia']",['Shattered City The Halifax Explosion And The Road To Recovery']
734,734,734,757,Janez Menart,"lyrical, narrative, and satirical poetry",1929-09-29,,English poetry,Janez Menart,"['Lyrical', 'Narrative', 'And Satirical Poetry']",['English Poetry']
735,735,735,758,Janice Galloway,"general fiction, nonfiction, poetry, collaborative text",1955-12-02,,The Trick is to Keep Breathing (novel),Janice Galloway,"['General Fiction', 'Nonfiction', 'Poetry', 'Collaborative Text']",['The Trick Is To Keep Breathing Novel']
736,736,736,759,Janice Hally,Television drama,1959-03-18,,"Machair (TV series), Take the High Road",Janice Hally,['Television Drama'],"['Machair Tv Series', 'Take The High Road']"
737,737,737,760,Janny Wurts,Fantasy,1953-12-10,,"Empire trilogy, Wars of Light and Shadow",Janny Wurts,['Fantasy'],"['Empire Trilogy', 'Wars Of Light And Shadow']"
738,738,738,761,Janosch,Children's picture books,1931-03-11,,Janoschs Traumstunde,Janosch,['Childrens Picture Books'],['Janoschs Traumstunde']
739,739,739,762,Jaroslav Hašek,Historical,1883-04-30,,The Good Soldier Švejk,Jaroslav Hašek,['Historical'],['The Good Soldier Vejk']
740,740,740,763,Jason Pargin,Satire,1975-01-10,English,John Dies at the End,Jason Pargin,['Satire'],['John Dies At The End']
741,741,741,764,Jason Reynolds,Young adult fiction,1983-12-06,English,Miles Morales,Jason Reynolds,['Young Adult Fiction'],['Miles Morales']
742,742,742,765,Jay Asher,Young adult fiction,1975-09-30,,Thirteen Reasons Why,Jay Asher,['Young Adult Fiction'],['Thirteen Reasons Why']
743,743,743,766,Jay Curtis (writer),"Poetry, comedy",1950-04-03,,Disasterpiece Theatre,Jay Curtis (writer),"['Poetry', 'Comedy']",['Disasterpiece Theatre']
744,744,744,767,Jay Pinkerton,"Comedy, video games",1977-06-15,Canadians,"Half-Life: Alyx, Portal 2, Team Fortress 2",Jay Pinkerton,"['Comedy', 'Video Games']","['Halflife Alyx', 'Portal 2', 'Team Fortress 2']"
745,745,745,768,Jay Williams (author),"History, Science fiction",1914-05-31,,Danny Dunn,Jay Williams (author),"['History', 'Science Fiction']",['Danny Dunn']
746,746,746,769,Jean Dufaux,Comic books,1949-06-07,Belgians,Jessica Blandy,Jean Dufaux,['Comic Books'],['Jessica Blandy']
747,747,747,770,Jean François Foppens,"ecclesiastical history, literary biography and bibliography",1689-11-17,Latin,Brussels,Jean François Foppens,"['Ecclesiastical History', 'Literary Biography And Bibliography']",['Brussels']
748,748,748,771,Jean Genet,"Absurdist fiction, Erotic literature, Theatre, Theatre of Cruelty",1910-12-19,,"Our Lady of the Flowers, The Balcony, The Maids, The Thief's Journal",Jean Genet,"['Absurdist Fiction', 'Erotic Literature', 'Theatre', 'Theatre Of Cruelty']","['Our Lady Of The Flowers', 'The Balcony', 'The Maids', 'The Thiefs Journal']"
749,749,749,772,Jean M. Auel,Fiction,1936-02-18,,Earth's Children,Jean M. Auel,['Fiction'],['Earths Children']
750,750,750,773,Jean Racine,"Comedy, Tragedy",1639-12-21,,"Andromaque, Athalie, Phèdre",Jean Racine,"['Comedy', 'Tragedy']","['Andromaque', 'Athalie', 'Phdre']"
751,751,751,774,Jean Rhys,"Modernism, Postmodernism",1890-08-24,,"Good Morning, Midnight (Rhys novel), Wide Sargasso Sea",Jean Rhys,"['Modernism', 'Postmodernism']","['Good Morning', 'Midnight Rhys Novel', 'Wide Sargasso Sea']"
752,752,752,775,Jean Stafford,Literary fiction,1915-07-01,,The Mountain Lion,Jean Stafford,['Literary Fiction'],['The Mountain Lion']
753,753,753,776,Jean de Brunhoff,Children's literature,1899-12-09,,Babar the Elephant,Jean de Brunhoff,['Childrens Literature'],['Babar The Elephant']
754,754,754,777,Jean-Baptiste Benoît Eyriès,Gothic fiction,1767-06-24,French language,Fantasmagoriana,Jean-Baptiste Benoît Eyriès,['Gothic Fiction'],['Fantasmagoriana']
755,755,755,778,Jean-Philippe Blondel,"Young Adult, Fiction",1964-10-16,"French, English",The 6:41 to Paris,Jean-Philippe Blondel,"['Young Adult', 'Fiction']",['The 641 To Paris']
756,756,756,779,Jeanette Winterson,Children's fiction,1959-08-27,,Oranges Are Not the Only Fruit,Jeanette Winterson,['Childrens Fiction'],['Oranges Are Not The Only Fruit']
757,757,757,780,Jeannette Walls,Non-fiction,1960-04-21,,"Half Broke Horses, The Glass Castle",Jeannette Walls,['Nonfiction'],"['Half Broke Horses', 'The Glass Castle']"
758,758,758,781,Jeff Andrus,Mystery fiction,1947-03-19,English,"As Summers Die, The Jeweler's Shop",Jeff Andrus,['Mystery Fiction'],"['As Summers Die', 'The Jewelers Shop']"
759,759,759,782,Jeff Lindsay,Mystery fiction,1952-07-14,,Dexter Morgan,Jeff Lindsay,['Mystery Fiction'],['Dexter Morgan']
760,760,760,783,Jeff Shaara,Historical fiction,1952-02-21,,"Gods and Generals (novel), The Last Full Measure (novel)",Jeff Shaara,['Historical Fiction'],"['Gods And Generals Novel', 'The Last Full Measure Novel']"
761,761,761,784,Jennifer A. Nielsen,Young adult fiction,1971-07-10,English,Ascendance Trilogy,Jennifer A. Nielsen,['Young Adult Fiction'],['Ascendance Trilogy']
762,762,762,785,Jennifer Allison,Fiction,1966-07-15,,"Gilda Joyce: Psychic Investigator, Gilda Joyce: The Ladies of the Lake",Jennifer Allison,['Fiction'],"['Gilda Joyce Psychic Investigator', 'Gilda Joyce The Ladies Of The Lake']"
763,763,763,786,Jennifer Donnelly,"Historical fiction, Young adult fiction",1963-08-16,,"A Northern Light, Revolution (novel), The Tea Rose",Jennifer Donnelly,"['Historical Fiction', 'Young Adult Fiction']","['A Northern Light', 'Revolution Novel', 'The Tea Rose']"
764,764,764,787,Jennifer Haigh,Literary Fiction,1968-10-16,,"Baker Towers, Mrs. Kimble, The Condition",Jennifer Haigh,['Literary Fiction'],"['Baker Towers', 'Mrs Kimble', 'The Condition']"
765,765,765,788,Jennifer Rardin,Urban fantasy,1965-04-28,English,Jaz Parks series,Jennifer Rardin,['Urban Fantasy'],['Jaz Parks Series']
766,766,766,789,Jennifer Teege,memoir,1970-06-29,Germans,My Grandfather Would Have Shot Me,Jennifer Teege,['Memoir'],['My Grandfather Would Have Shot Me']
767,767,767,790,Jennifer Weiner,Women's fiction,1970-03-28,,"Good in Bed, In Her Shoes (novel)",Jennifer Weiner,['Womens Fiction'],"['Good In Bed', 'In Her Shoes Novel']"
768,768,768,791,Jenny Nimmo,"Adventure novel, Children's literature",1944-01-15,,"Children of the Red King, The Snow Spider",Jenny Nimmo,"['Adventure Novel', 'Childrens Literature']","['Children Of The Red King', 'The Snow Spider']"
769,769,769,792,Jens Lapidus,Crime fiction,1974-05-24,Sweden,Easy Money (novel),Jens Lapidus,['Crime Fiction'],['Easy Money Novel']
770,770,770,793,Jeremy Lloyd,Television,1930-07-22,British people,"'Allo 'Allo!, Are You Being Served?, Come Back Mrs Noah, Grace and Favour, Oh, Happy Band!, Rowan & Martin's Laugh-In, Which Way to the War",Jeremy Lloyd,['Television'],"['Allo Allo', 'Are You Being Served', 'Come Back Mrs Noah', 'Grace And Favour', 'Oh', 'Happy Band', 'Rowan  Martins Laughin', 'Which Way To The War']"
771,771,771,794,Jericho Brown,Poetry,1976-04-14,English,The Tradition (poetry collection),Jericho Brown,['Poetry'],['The Tradition Poetry Collection']
772,772,772,795,Jerilyn Lee Brandelius,Photojournalism,1948-06-25,,The Grateful Dead Family Album,Jerilyn Lee Brandelius,['Photojournalism'],['The Grateful Dead Family Album']
773,773,773,796,Jerome Bixby,Western fiction,1923-01-11,,"It's a Good Life, Mirror, Mirror (Star Trek: The Original Series)",Jerome Bixby,['Western Fiction'],"['Its A Good Life', 'Mirror', 'Mirror Star Trek The Original Series']"
774,774,774,797,Jerry Ahern,Science fiction,1946-06-23,,The Survivalist (novel series),Jerry Ahern,['Science Fiction'],['The Survivalist Novel Series']
775,775,775,798,Jerry Spinelli,"Children's literature, Young-adult novel",1941-02-01,,"Eggs (novel), Maniac Magee, Space Station Seventh Grade, Stargirl (novel), Who Put That Hair in My Toothbrush?, Wringer (novel)",Jerry Spinelli,"['Childrens Literature', 'Youngadult Novel']","['Eggs Novel', 'Maniac Magee', 'Space Station Seventh Grade', 'Stargirl Novel', 'Who Put That Hair In My Toothbrush', 'Wringer Novel']"
776,776,776,799,Jerry Stahl,Transgressive fiction,1953-09-28,English,Permanent Midnight,Jerry Stahl,['Transgressive Fiction'],['Permanent Midnight']
777,777,777,800,Jerzy Giedroyc,Publicist,1906-07-27,Poles,Kultura,Jerzy Giedroyc,['Publicist'],['Kultura']
778,778,778,801,Jessica Burkhart,"Preadolescence, Young adult fiction",1987-01-29,,Canterwood Crest,Jessica Burkhart,"['Preadolescence', 'Young Adult Fiction']",['Canterwood Crest']
779,779,779,802,Jessica Townsend,"Children's literature, Fantasy",1985-04-18,English,The Nevermoor series,Jessica Townsend,"['Childrens Literature', 'Fantasy']",['The Nevermoor Series']
780,780,780,803,Jhumpa Lahiri,"Novel, Postcolonial, Short story",1967-07-11,,"Interpreter of Maladies, The Lowland, The Namesake (novel), Unaccustomed Earth",Jhumpa Lahiri,"['Novel', 'Postcolonial', 'Short Story']","['Interpreter Of Maladies', 'The Lowland', 'The Namesake Novel', 'Unaccustomed Earth']"
781,781,781,804,Ji-li Jiang,"Fiction, Memoir",1954-02-02,English,Red Scarf Girl,Ji-li Jiang,"['Fiction', 'Memoir']",['Red Scarf Girl']
782,782,782,805,Jibanananda Das,"Poetry, novels, short stories, criticism",1899-02-17,British Indian,"Akashlina, Banalata Sen, Banalata Sen (book), Bodh (poem), Campe (poem), Rupasi Bangla",Jibanananda Das,"['Poetry', 'Novels', 'Short Stories', 'Criticism']","['Akashlina', 'Banalata Sen', 'Banalata Sen Book', 'Bodh Poem', 'Campe Poem', 'Rupasi Bangla']"
783,783,783,806,Jillian Lauren,"Fiction, Memoir, Tragicomedy",1973-08-16,,Some Girls: My Life in a Harem,Jillian Lauren,"['Fiction', 'Memoir', 'Tragicomedy']",['Some Girls My Life In A Harem']
784,784,784,807,Jim Allen (playwright),"Drama, fiction, screenplays",1926-10-07,,"Coronation Street, Days of Hope, Hidden Agenda (1990 film), Land and Freedom (film), Perdition (play), Raining Stones, The Rank and File (Play for Today), The Spongers, The Wednesday Play",Jim Allen (playwright),"['Drama', 'Fiction', 'Screenplays']","['Coronation Street', 'Days Of Hope', 'Hidden Agenda 1990 Film', 'Land And Freedom Film', 'Perdition Play', 'Raining Stones', 'The Rank And File Play For Today', 'The Spongers', 'The Wednesday Play']"
785,785,785,808,Jim Butcher,"Fantasy literature, Science fiction, Speculative fiction",1971-10-26,,"Codex Alera, The Dresden Files",Jim Butcher,"['Fantasy Literature', 'Science Fiction', 'Speculative Fiction']","['Codex Alera', 'The Dresden Files']"
786,786,786,809,Jim Crace,Realistic fiction,1946-03-01,,"Being Dead, Continent (novel), Harvest (Crace novel), Quarantine (Crace novel), The Gift of Stones",Jim Crace,['Realistic Fiction'],"['Being Dead', 'Continent Novel', 'Harvest Crace Novel', 'Quarantine Crace Novel', 'The Gift Of Stones']"
787,787,787,810,Jim Field Smith,Comedy,1979-02-20,,"Episodes (TV series), She's Out of My League, Stag (miniseries), The Wrong Mans (UK TV series)",Jim Field Smith,['Comedy'],"['Episodes Tv Series', 'Shes Out Of My League', 'Stag Miniseries', 'The Wrong Mans Uk Tv Series']"
788,788,788,811,Jim Thompson (writer),"Autobiography, Crime fiction, Hardboiled, Literary fiction, Pulp magazine, Suspense",1906-09-27,English,"After Dark, My Sweet (novel), The Grifters (novel), The Killer Inside Me",Jim Thompson (writer),"['Autobiography', 'Crime Fiction', 'Hardboiled', 'Literary Fiction', 'Pulp Magazine', 'Suspense']","['After Dark', 'My Sweet Novel', 'The Grifters Novel', 'The Killer Inside Me']"
789,789,789,812,Joan Aiken,"Alternative history, Children's literature, Supernatural fiction",1924-09-04,British people,The Wolves of Willoughby Chase,Joan Aiken,"['Alternative History', 'Childrens Literature', 'Supernatural Fiction']",['The Wolves Of Willoughby Chase']
790,790,790,813,Joan Brady (American-British writer),Suspense fiction,1939-12-04,English,Theory of War,Joan Brady (American-British writer),['Suspense Fiction'],['Theory Of War']
791,791,791,814,Joan D. Vinge,Science fiction,1948-04-02,,The Snow Queen (Vinge novel),Joan D. Vinge,['Science Fiction'],['The Snow Queen Vinge Novel']
792,792,792,815,Joanna Russ,"Fantasy, Feminist science fiction",1937-02-22,,"How to Suppress Women's Writing, The Female Man, To Write Like a Woman, When It Changed",Joanna Russ,"['Fantasy', 'Feminist Science Fiction']","['How To Suppress Womens Writing', 'The Female Man', 'To Write Like A Woman', 'When It Changed']"
793,793,793,816,Joanne Cole,Children's books and TV,1934-06-06,,"Bod (TV series), Fingerbobs, Gran (TV series)",Joanne Cole,['Childrens Books And Tv'],"['Bod Tv Series', 'Fingerbobs', 'Gran Tv Series']"
794,794,794,817,Joanne Harris,"literary fiction, magic realism",1964-07-03,,"Blackberry Wine, Chocolat (novel), Gentlemen & Players, Peaches for Monsieur le Curé, Runelight, Runemarks, The Lollipop Shoes",Joanne Harris,"['Literary Fiction', 'Magic Realism']","['Blackberry Wine', 'Chocolat Novel', 'Gentlemen  Players', 'Peaches For Monsieur Le Cur', 'Runelight', 'Runemarks', 'The Lollipop Shoes']"
795,795,795,818,Joe Abercrombie,Fantasy,1974-12-31,,"Shattered Sea, The First Law",Joe Abercrombie,['Fantasy'],"['Shattered Sea', 'The First Law']"
796,796,796,819,Joe Craig (writer),"Adventure novel, Children's Books, Spy fiction, Thriller (genre)",1981-12-31,,Jimmy Coates,Joe Craig (writer),"['Adventure Novel', 'Childrens Books', 'Spy Fiction', 'Thriller Genre']",['Jimmy Coates']
797,797,797,820,Joe Dever,Fantasy,1956-02-12,,Lone Wolf (gamebooks),Joe Dever,['Fantasy'],['Lone Wolf Gamebooks']
798,798,798,821,Joe Haldeman,Science fiction,1943-06-09,American people,The Forever War,Joe Haldeman,['Science Fiction'],['The Forever War']
