authorLabel,combinedGenres,birthDate,combinedNationalityOrLanguage,topBooks
Fernando Pessoa,"Poetry, essay, fiction",1888-06-13,Portuguese people,"Mensagem, The Book of Disquiet"
Fernando Pessoa,"Poetry, essay, fiction",1888-06-13,Portuguese people,"Mensagem, The Book of Disquiet"
Fernando Vallejo,Novel,1942-10-24,Colombian people,Our Lady of the Assassins (novel)
Fernando Vallejo,Novel,1942-10-24,Mexican people,Our Lady of the Assassins (novel)
Fidel Villarroel,Non-fiction,1929-03-18,,"Beatification and canonization process in 1914, Lorenzo Ruiz, Thomasian Martyrs"
Flann O'Brien,"Metafiction, Satire",1911-10-05,,"An Béal Bocht, At Swim-Two-Birds, The Dalkey Archive, The Third Policeman"
Florence Engel Randall,"Children's fiction, Gothic literature",1917-10-18,,A Watcher in the Woods
Floyd Cooper (illustrator),Children's literature,1956-01-08,,Eloise Greenfield
Fran Ross,"African-American literature, Satire",1935-06-25,,Oreo (novel)
Frances Ellen Watkins Harper,"Essays, Poetry, Short story",1825-09-24,,Iola Leroy
Francesca Simon,Children's literature,1955-02-23,,Horrid Henry
Francine Pascal,"Teen and young-adult fiction, oriented mainly to female readers",1938-05-13,,Sweet Valley High
Franco Laguna Correa,"Experimental literature, Flash fiction, Hybrid genre, Literary fiction, Non-fiction",1986-09-20,,Crush Me
Frank Conroy (author),"Essay, Memoir, Novel, Short story, Travel literature",1936-01-15,English,Stop-Time
Frank E. Peretti,Christian fiction,1951-01-13,Americans,"The Oath (Peretti), This Present Darkness"
Frank McGuinness,"Drama, Poetry",1953-07-29,,"Dolly West's Kitchen, Observe the Sons of Ulster Marching Towards the Somme, Someone Who'll Watch Over Me, The Factory Girls"
Frank Peppiatt,Variety show,1927-03-19,Canada,The Sonny & Cher Comedy Hour
Franklin Foer,non-fiction,1974-07-20,,The New Republic
Franz Baermann Steiner,Anthropology,1909-10-12,Czechoslovakia,Taboo (book)
Fred D'Aguiar,"Fiction, Poetry, Stage plays",1960-02-02,,The Longest Memory
Fred Mustard Stewart,"Fiction, Historical fiction, Horror fiction, Science fiction",1932-09-17,,"Century (1981 book), Ellis Island (novel)"
Fred Saberhagen,"Fantasy fiction, Science fiction",1930-05-18,,"Berserker (Saberhagen), Books of the Swords"
Frederick Buechner,"Autobiography, Essay, Historical fiction, Novel, Sermon, Short story",1926-07-11,,"A Long Day's Dying, Godric (novel), The Book of Bebb, The Magnificent Defeat, The Sacred Journey"
Frederick Forsyth,"Crime fiction, Thriller (genre)",1938-08-25,,"No Comebacks, The Day of the Jackal, The Dogs of War (novel), The Fist of God, The Fourth Protocol, The Odessa File"
Fredric Brown,"Fantasy, Mystery fiction, Science fiction",1906-10-29,,"Arena (short story), The Fabulous Clipjoint"
Fredrik Backman,"Fiction, Humor, Satire",1981-06-02,,"A Man Called Ove (novel), Beartown (novel), Britt-Marie Was Here, My Grandmother Asked Me to Tell You She's Sorry"
Freeman Wills Crofts,"Detective novel, Murder mystery",1879-06-01,,"Inspector French and the Starvel Tragedy, The 12:30 from Croydon"
Friedrich Hölderlin,Lyric poetry,1770-03-20,,Hyperion (Hölderlin novel)
Friedrich de la Motte Fouqué,Fantasy literature,1777-02-12,,Undine (novella)
Fritz Leiber,"Fantasy fiction, Horror fiction, Science fiction",1910-12-24,,"Fafhrd and the Gray Mouser, The Big Time (novel)"
Fuyumi Ono,"Fantasy fiction, Horror fiction",1960-12-24,Japanese,"Ghost Hunt (novel series), Shiki (novel series), The Twelve Kingdoms"
Fyodor Dostoevsky,"* Novel
* short story
* journalism",1821-11-11,,"Crime and Punishment, Demons (Dostoevsky novel), Notes from Underground, The Brothers Karamazov, The Idiot"
G. K. Chesterton,"Catholic apologetics, Christian apologetics, Fantasy literature, Mystery fiction, Poetry",1874-05-29,,"Father Brown, Orthodoxy (book), The Everlasting Man, The Man Who Was Thursday, The Napoleon of Notting Hill"
Gabriel García Márquez,", Novels, short stories",1927-03-06,Spanish,"Chronicle of a Death Foretold, Love in the Time of Cholera, One Hundred Years of Solitude, The Autumn of the Patriarch"
Gabrielle Roy,"Canadian literature, Children's literature",1909-03-22,French language,"Children of My Heart, Street of Riches, The Tin Flute"
Gail Bowen,Mystery fiction,1942-09-22,,Joanne Kilbourn
Gao Xingjian,Absurdism,1940-01-04,Chinese language,"Soul Mountain, The Bus Stop, The Other Shore"
Gardner Dozois,"Anthologies, Science fiction magazine",1947-07-23,American people,Asimov's Science Fiction
Gary Blackwood (author),"Children's fiction, Historical fiction, Science fiction",1945-10-23,,The Shakespeare Stealer
Gary D. Schmidt,Realistic fiction,1957-04-14,,"Lizzie Bright and the Buckminster Boy, Okay for Now, The Wednesday Wars"
Gary Larson,"Comedy, Satire, Surreal humour",1950-08-14,,The Far Side
Gary Paulsen,"Adventure novel, Young adult fiction",1939-05-17,,"Dogsong, Harris and Me, Hatchet (novel), The River (Paulsen novel), The Winter Room, Winterdance: The Fine Madness of Running the Iditarod, Woodsong"
Gastón Suárez,Short stories,1929-01-27,Bolivian people,The Gesture
Gavin Maxwell,"Natural history, Travel literature",1914-07-15,,Ring of Bright Water
Gayl Jones,African-American literature,1949-11-23,,Corregidora (novel)
Gayle Forman,"Children's books, Novel, Young adult fiction",1970-06-05,,If I Stay
Geetanjali Shree,"Novels, short stories",1957-06-12,Hindi,Tomb of Sand
Gen Urobuchi,"Dark Fantasy, Horror fiction, Sci-fi, Thriller (genre), Tragedy",1972-12-20,,"Fate/Zero, Kamen Rider Gaim, Psycho-Pass, Puella Magi Madoka Magica, Saya no Uta"
Genese Davis,"Fantasy literature, New adult, Science fiction, Video games",1984-09-12,,"Ary and the Secret of Seasons, Omensight, The Holder's Dominion"
Geneviève Huriet,Children's literature,1927-08-24,,Beechwood Bunny Tales
Geoffrey Trease,Children's literature,1909-08-11,English,"Bows Against the Barons, Cue for Treason"
George Alec Effinger,"Cyberpunk, Science fiction",1947-01-10,,When Gravity Fails
George Clayton Johnson,", Science fiction, Western, fantasy, horror, literary, magical realism",1929-07-10,,"Logan's Run, Ocean's 11, Star Trek, The Twilight Zone"
George Crabbe,Poetry,1754-12-24,,"The Borough (George Crabbe poem), The Village (poem)"
George Douglas Brown,Literary realism,1869-01-26,Scottish people,The House with the Green Shutters
George G. Blackburn,"Creative non-fiction, Historical non-fiction, Literary criticism, Non-fiction",1917-02-03,Canadians,The Guns of Normandy
George Garrett (poet),"Poetry, theatre, fiction",1929-06-11,,Death of the Fox
George H. Scithers,Science fiction,1929-05-14,,"Amazing Stories, Isaac Asimov's Science Fiction Magazine, Weird Tales"
George Harmon Coxe,Crime fiction,1901-04-23,,"Black Mask (magazine), Casey, Crime Photographer"
George Linley,"Ballad, Poetry, Satire",1797-12-27,English people,God Bless the Prince of Wales
George MacDonald,Children's literature,1824-12-10,,"At the Back of the North Wind, David Elginbrod, Lilith (novel), Phantastes, The Princess and the Goblin"
George Mikes,"Humour, journalism",1912-02-15,Hungarian language,How to be an Alien
George Mills (writer),British children's and young adults' literature,1896-10-01,,Meredith and Co.
George S. Kaufman,"Comedy, political satire",1889-11-16,,"Of Thee I Sing, You Can't Take It with You (play)"
George Selden (author),Children's fiction,1929-05-14,English,The Cricket in Times Square
George Steiner,Literary fiction,1929-04-23,,After Babel
Georgia Byng,"Children's literature, Comic strip",1965-09-06,,Molly Moon's Incredible Book of Hypnotism
Gertrude Barrows Bennett,"Fantasy, Science fiction",1884-09-18,,The Heads of Cerberus
Gertrudis Gómez de Avellaneda,Romanticism in Spanish literature,1814-03-23,Spain,Sab (novel)
Giannina Braschi,"poetry, theater, novel, political philosophy",1953-02-05,Puerto Rico,"Empire of Dreams (poetry collection), United States of Banana, Yo-Yo Boing!"
Gideon Defoe,Comedy,1975-12-26,British nationality law,The Pirates!
Gillian Flynn,"Fiction, Mystery fiction, Thriller (genre)",1971-02-24,,"Dark Places (novel), Gone Girl (novel), Sharp Objects"
Giovanni Papini,"Autobiography, Fantasy, Prose poetry, Satire, Travel literature",1881-01-09,,Gog (novel)
Giovanni Ruffini,Romance novel,1807-09-20,,Doctor Antonio (novel)
Giovannino Guareschi,"Political satire, Short story, War novel",1908-05-01,,"Anti-communist, Don Camillo, La rabbia"
Girish Karnad,Fiction,1938-05-19,,"Taledanda, Tughlaq (play)"
Glen Cook,"Fantasy, Science fiction",1944-07-09,,"Garrett P.I., The Black Company"
Glen Rounds,Children's literature,1906-04-04,English,"Ol' Paul, the Mighty Logger"
Glenn Chandler,Crime fiction,1949-03-12,Scottish people,Taggart (series)
Glenn Greenwald,"Political and legal commentary, non-fiction",1967-03-06,,"A Tragic Legacy, Citizenfour, How Would a Patriot Act?, No Place to Hide (Greenwald book)"
Glenn Hauman,"Fiction, Non-fiction",1969-03-04,,"Farscape, Star Trek: New Frontier, Star Trek: Starfleet Corps of Engineers, X-Men"
Godfrey Mwakikagile,African studies,1949-10-04,Tanzania,"Kenya, Rwanda, Tanganyika (territory)"
Gonçalves Dias,"Play (theatre), Poetry",1823-08-10,Portuguese people,"Canção do exílio, I-Juca-Pirama, Patkull"
Gordana Kuić,Contemporary literature,1942-08-29,,The Scent of Rain in the Balkans
Gordon R. Dickson,"Fantasy, Science fiction",1923-11-01,Canadian Americans,Childe Cycle
Grace Moon,Children's literature,1884-02-05,,Runaway Papoose
Greg Bear,Speculative fiction,1951-08-20,,Blood Music (novel)
Greg Behrendt,"Dating, Podcasts, Self-improvement",1963-07-21,,"He's Just Not That Into You, The Greg Behrendt Show, The Reigning Monarchs, Walking the Room"
Greg Quill,Entertainment,1947-04-18,,Toronto Star
Gregory Benford,"Hard science fiction, Science fiction",1941-01-30,,Galactic Center Saga
Gregory Mcdonald,"Comedy, Mystery fiction",1937-02-15,,Fletch (novel)
Gu Long,Wuxia,1938-06-07,Republic of China,"Chu Liuxiang, Juedai Shuangjiao, Liuxing Hudie Jian, Xiaoli Feidao"
Guillermo Martínez (writer),Crime fiction,1962-07-29,,The Oxford Murders (novel)
Gunnel Linde,Children's literature,1924-10-14,Swedish language,Den vita stenen
Guo Jingming,Fantastic,1983-06-06,,Ice Fantasy
Gustave Flaubert,Prose,1821-12-12,,"Bouvard et Pécuchet, Madame Bovary, Salammbô, Sentimental Education, The Temptation of Saint Anthony (novel), Three Tales (Flaubert)"
Guy Gavriel Kay,"Fantasy, Poetry, Scriptwriting",1954-11-07,,"The Fionavar Tapestry, Tigana"
Guy Lawson,Nonfiction,1963-01-26,Canadian Americans,"Arms and the Dudes, Octopus: Sam Israel, the Secret Market, and Wall Street's Wildest Con"
Guy Vanderhaeghe,"Historical fiction, Short story, Western fiction",1951-04-05,,"Man Descending, The Englishman's Boy, The Last Crossing"
Gwyneth Jones (novelist),"High fantasy, Science fiction",1952-02-14,England,Bold as Love (novel)
Géza Gárdonyi,Historical novel,1863-08-03,Hungarian language,"Eclipse of the Crescent Moon, Slave of the Huns"
Göran Tunström,"Biography, novel, poem, short story",1937-05-14,,The Christmas Oratorio
H. A. Rey,Children's literature,1898-09-16,,Curious George
H. C. Bailey,"Murder mystery, Thriller (genre)",1878-02-01,,Reggie Fortune
H. E. Bates,"Novels, short stories",1905-05-16,English,"Fair Stood the Wind for France, Love for Lydia, My Uncle Silas, The Darling Buds of May (novel)"
H. P. Lovecraft,"Fantasy, Gothic fiction, Horror fiction, Lovecraftian horror, Science fiction, Weird fiction",1890-08-20,,"At the Mountains of Madness, The Call of Cthulhu, The Dream-Quest of Unknown Kadath, The Shadow Out of Time, The Shadow over Innsmouth"
H. Rider Haggard,"Adventure fiction, Fables, Fantasy genre, Historical Novel, Romance (literary fiction), Science fiction",1856-06-22,,"Allan Quatermain, King Solomon's Mines, She: A History of Adventure"
H. Warner Munn,"Fantasy, Horror fiction, Poetry",1903-11-05,,"Merlin's Ring, Tales of the Werewolf Clan"
Ha Jin,Short story,1956-02-21,United States,"In the Pond, Ocean of Words, The Bridegroom (short story collection), Waiting (novel), War Trash"
Hafeez Jalandhari,"Ghazal, Nazm",1900-01-14,,National Anthem of Pakistan
Hal Clement,Science fiction,1922-05-30,American people,"Mission of Gravity, Uncommon Sense"
Han Kang,Fiction,1970-11-27,Korean language,The Vegetarian
Han Suyin,"Fiction, history, biographies",1916-09-12,Standard Chinese,"A Many-Splendoured Thing, My House Has Two Doors, The Crippled Tree"
Harlan Ellison,"Crime fiction, Criticism, Fantasy, Horror fiction, Mystery (fiction), Science fiction, Speculative fiction",1934-05-27,,"""Repent, Harlequin!"" Said the Ticktockman, A Boy and His Dog, Dangerous Visions, I Have No Mouth, and I Must Scream, The City on the Edge of Forever"
Harley Granville-Barker,Drama,1877-11-25,English,"The Voysey Inheritance, Waste (play)"
Harold Sakuishi,Fiction,1969-03-16,Japanese people,Beck (manga)
Harper Lee,", Literature, fiction",1926-04-28,,To Kill a Mockingbird
Harriet Adams,Young adult fiction,1892-12-12,,Nancy Drew
Harriet McDougal,"Fantasy, Science fiction",1939-08-04,,"Ender's Game, The Black Company, The Wheel of Time"
Harriett Lothrop,Children's fiction,1844-06-22,,Five Little Peppers
Harry Bates (writer),Science fiction,1900-10-09,,Farewell to the Master
Harry Mulisch,"Novels, plays, essays, poems",1927-07-29,Dutch language,"The Assault, The Discovery of Heaven"
Harry Smith (poet),Poetry,1936-10-15,,Pushcart Prize
Harry Turtledove,"Alternate history, Fantasy, Historical fiction, History, Science fiction",1949-06-14,,"Crosstime Traffic, Southern Victory Series, The Guns of the South, The Two Georges, Worldwar Series"
Harry Warner Jr.,"Journalism, Science fiction fandom",1922-12-19,,"A Wealth of Fable, All Our Yesterdays (book), Horizons (magazine)"
Haruki Murakami,"Bildungsroman, Literary realism, Magical realism, Picaresque novel, Postmodernism, Surrealism",1949-01-12,Japanese language,"1Q84, Kafka on the Shore, Men Without Women (Haruki Murakami short story collection), Norwegian Wood (novel), The Wind-Up Bird Chronicle"
Harvey Pekar,"Alternative comics, Underground comics",1939-10-08,,"American Splendor, Our Cancer Year"
HaveYouSeenThisGirL,"Comic novel, Romance novel",1994-02-11,,"Diary ng Panget, She Died, Voiceless (series)"
Hazel Rowley,Biography,1951-11-16,"English, French",Tête-à-tête (book)
Hedda Eulenberg,Publications,1876-03-06,,"Edgar Allan Poe, Germinal (novel)"
Heiner Müller,"Dialectical theatre, Interviews, Non-Aristotelian drama, Postdramatic theatre, Short stories",1929-01-09,,"Hamletmachine, Quartet (Müller), The Mission (play)"
Helen Andelin,Self-help,1920-05-22,,Fascinating Womanhood
Helen Fielding,Romantic comedy,1958-02-19,English,Bridget Jones's Diary
Helen Frost,"Young adult, children's fiction",1949-03-04,,Keesha's House
Helen Gardner (critic),Literary criticism,1908-02-13,English,The New Oxford Book of English Verse 1250–1950
Helen Nicoll,Children's literature,1937-10-10,,Meg and Mog
Helen Palmer (writer),Children's literature,1898-09-16,,"A Fish out of Water (book), Do You Know What I'm Going to Do Next Saturday?"
Hendrik Willem van Loon,Popularizing,1882-01-14,,The Story of Mankind
Henning Mankell,"Crime fiction, Thriller (genre)",1948-02-03,,Kurt Wallander
Henrik Lacaj,"Classics, Albanian Language, Albanian History",1909-02-11,"Albanian, Latin, Ancient Greek, Italian",The Siege of Shkodra (book)
Henry Adams,"History, Memoir",1838-02-16,English,"The Education of Henry Adams, The History of the United States of America 1801–1817"
Henry Beard,Humor,1945-06-07,,"Bored of the Rings, National Lampoon (magazine)"
Henry Louis Gates Jr.,"Essay, history, literature",1950-09-16,,The Signifying Monkey
Henry Louis Vivian Derozio,"Academic, Educator",1809-04-18,English and Bengali,To India - My Native Land
Henry Miller,"Philosophical fiction, Roman à clef",1891-12-26,,"Black Spring (novel), The Colossus of Maroussi, The Rosy Crucifixion, Tropic of Cancer (novel), Tropic of Capricorn (novel)"
Henry Treece,"Historical fiction, Poetry",1911-12-22,,"The Children's Crusade, Viking Trilogy"
Herbert Asbury,Social history,1891-09-01,,The Gangs of New York (book)
Herbert Best,"Children's literature, Science fiction",1894-03-25,,Garram the Hunter: A Boy of the Hill Tribes
Hermann Hesse,Fiction,1877-07-02,,"Demian, Narcissus and Goldmund, Siddhartha (novel), Steppenwolf (novel), The Glass Bead Game"
Hester Burton,Children's literature,1913-12-06,English,"Beyond the Weir Bridge, Time of Trial"
Hideo Yokoyama,"Crime fiction, Mystery fiction, Thriller (genre)",1957-01-17,Japanese,Six Four
Hiroshi Mori (writer),Mystery fiction,1957-12-07,Japanese,"Subete ga F ni Naru, The Sky Crawlers"
Hiroyuki Morioka,"Fantasy, Science fiction, Space opera",1962-03-02,,"Banner of the Stars, Crest of the Stars"
Homer Hickam,"Historical fiction, Memoirs",1943-02-19,,"Back to the Moon, Rocket Boys: A Memoir, Sky of Stone, The Coalwood Way"
Honoré d'Urfé,Pastoral,1568-02-11,,L'Astrée
Honoré de Balzac,Dramaturgy,1799-05-20,,"Colonel Chabert (novel), Eugénie Grandet, Illusions perdues, La Comédie humaine, La Peau de chagrin, La Rabouilleuse, Le Lys dans la vallée, Le Père Goriot, Splendeurs et misères des courtisanes"
Horace,Lyric poetry,-065-12-08,Roman Republic,"Ars Poetica (Horace), Odes (Horace)"
Horace McCoy,"Crime fiction, Hardboiled, Literary fiction",1897-04-14,,"They Shoot Horses, Don't They? (novel)"
Horatio Alger,Children's literature,1832-01-13,,Ragged Dick
Hotchand Molchand Gurbakhshani,Prose,1884-03-08,British India,Shah Jo Risalo
Howard Michael Gould,"Mystery, Comedy",1962-11-21,,"Cybill, Instant Mom"
Howard R. Garis,Children's literature,1873-04-25,,Uncle Wiggily
Howard W. Bergerson,Constrained writing,1922-07-29,,"Palindromes and Anagrams, Word Ways: The Journal of Recreational Linguistics"
Huanzhulouzhu,Xianxia (genre),1902-02-28,,Legend of the Swordsmen of the Mountains of Shu
Hugh Lofting,"Children's literature, Fantasy",1886-01-14,,Doctor Dolittle
Hunter S. Thompson,Gonzo journalism,1937-07-18,,"Fear and Loathing in Las Vegas, Fear and Loathing on the Campaign Trail '72, Hell's Angels: The Strange and Terrible Saga of the Outlaw Motorcycle Gangs, The Curse of Lono, The Rum Diary (novel)"
Hussain Zaidi,"Nonfiction, fiction, crime, mafia, investigation, documentary",1968-02-28,,"Black Friday: The True Story of the Bombay Bomb Blasts, Dongri to Dubai: Six Decades of the Mumbai Mafia"
Huub Oosterhuis,"Liturgy, Poetry",1933-11-01,,Psalms
Høgni Mohr,Non fiction,1968-10-08,Faroe Islanders,Faroe Islands
Ian Rankin,Crime fiction,1960-04-28,,"DI John Rebus, Dark Entries (comics)"
Ibi Kaslik,Literature,1973-08-20,Canadians,Skinny (novel)
Ibn-e-Safi,"Adventure novel, Crime fiction, Mystery fiction, Spy fiction",1928-07-26,,"Ahmad Kamal Faridi, Ali Imran, Imran Series, Jasoosi Dunya, Sajid Hameed"
Ida Husted Harper,biographies,1851-02-18,English,"History of Woman Suffrage, Susan B. Anthony"
Iha Fuyū,Scientific papers and essays,1876-03-15,,Omoro Sōshi
Irvine Welsh,"Novel, play, short story",1958-09-27,,"Filth (novel), Porno (novel), The Acid House, Trainspotting (novel)"
Irving Greenfield,"historical fantasy, science fiction",1929-02-22,,Tagget
Isaac Bashevis Singer,Prose,1903-11-11,Yiddish,"A Day of Pleasure, The Magician of Lublin (novel)"
Ismail Johari,History,1947-03-13,Malaysians,Bukit Kepong incident
Ismail Kadare,"Allegory, Dystopia, Fable, Folklore, Legend, Myth, Parable, Satire, Subjective realism",1936-01-28,Albanians,"Chronicle in Stone, Spiritus (Kadare novel), The Fall of the Stone City, The File on H., The General of the Dead Army (novel), The Palace of Dreams, The Pyramid (Kadare novel), The Siege (Kadare novel)"
Ismat Chughtai,", Short stories, novel, plays",1915-08-21,Urdu,List of works by Ismat Chughtai
Isobelle Carmody,Young adult literature,1958-06-16,,Obernewtyn Chronicles
Israel Joshua Singer,Prose,1893-11-30,Yiddish language,The Brothers Ashkenazi
Ivan Bunin,"fiction, poetry, memoirs, criticism, translations",1870-10-22,,"Dark Avenues, The Gentleman from San Francisco, The Life of Arseniev, The Village (Ivan Bunin novel)"
Ivan Panin,Literature,1855-12-12,,Pantheism
Ivan Turgenev,Short story,1818-11-09,,"A Month in the Country (play), A Sportsman's Sketches, Fathers and Sons (novel), Home of the Gentry"
J. E. Harold Terry,", comedy, detective, drama, spy",1885-09-21,,The Man Who Stayed at Home (play)
J. G. Ballard,"Dystopian fiction, Satire, Science fiction, Transgressive fiction",1930-11-15,,"Crash (Ballard novel), Empire of the Sun, High-Rise (novel), The Atrocity Exhibition"
J. G. Farrell,Novel,1935-01-25,,"The Siege of Krishnapur, Troubles (novel)"
J. M. Barrie,Fantasy,1860-05-09,,"Peter and Wendy, The Admirable Crichton, The Little White Bird"
J. M. G. Le Clézio,The African (essay),1940-04-13,,"Désert (novel), Le Procès-Verbal"
Jacek Dukaj,science-fiction,1974-07-30,Polish language,"Czarne oceany, Lód, Perfekcyjna niedoskonałość, The Cathedral (Dukaj short story), The Old Axolotl"
Jack Bickham,Novel,1930-09-02,,The Apple Dumpling Gang
Jack Finney,"Comedy, Noir fiction, Science fiction, Thrillers",1911-10-02,,"The Body Snatchers, Time and Again (Finney novel)"
Jack Gantos,comics,1951-07-02,,"Dead End in Norvelt, Hole in My Life, Joey Pigza, Rotten Ralph"
Jack Higgins,"Mystery fiction, Spy fiction, Thriller (genre)",1929-07-27,,"A Prayer for the Dying, Angel of Death (novel), Day of Reckoning (novel), Flight of Eagles, The Eagle Has Flown, The Eagle Has Landed (novel), Thunder Point"
Jack Vance,"Fantasy literature, Mystery fiction",1916-08-28,,Dying Earth
Jackie French,Historical fiction,1953-11-29,,"Diary of a Wombat, Hitler's Daughter, Rain Stones, Somewhere Around the Corner, To the Moon and Back (book)"
Jacqueline Carey,Fantasy,1964-10-09,,Kushiel's Legacy
Jacqueline Wilson,Realism (arts),1945-12-17,,"Candyfloss (novel), Cookie (novel), Double Act (novel), Hetty Feather, Love Frankie, The Story of Tracy Beaker"
Jacqueline Woodson,Young adult fiction,1963-02-12,,"After Tupac and D Foster, Brown Girl Dreaming, Feathers (novel), Miracle's Boys (novel), Show Way"
Jacques Vriens,"Children's fiction, theater",1946-03-26,Dutch,Achtste-groepers huilen niet
Jade Snow Wong,autobiography,1922-01-21,,Fifth Chinese Daughter
Jake Adelstein,True crime,1969-03-28,Americans,Tokyo Vice
Jamaica Kincaid,"Fiction, memoir, essays",1949-05-25,,"A Small Place, Annie John, Lucy (novel)"
James A. Michener,Historical fiction,1907-02-03,,Tales of the South Pacific
James Alan McPherson,Fiction,1943-09-16,,Elbow Room (short story collection)
James Allen (author),Non-fiction,1864-11-28,English language,As a Man Thinketh
James Dashner,"Children's literature, Fantasy literature, Science fiction",1972-11-26,,"The 13th Reality, The Maze Runner"
James Duncan Lawrence (author),Children's literature,1918-10-22,,Tom Swift
James E. Gunn,Science fiction,1923-07-12,English,The Road to Science Fiction
James Ellroy,"Crime fiction, Historical fiction, Mystery fiction, Noir fiction",1948-03-04,,"L.A. Quartet, Lloyd Hopkins Trilogy, My Dark Places (book), Underworld USA Trilogy"
James Fenimore Cooper,Historical fiction,1789-09-15,,The Last of the Mohicans
James H. McClure,Mystery fiction,1939-10-09,,Kramer and Zondi
James Herbert,"Dark fantasy, Horror fiction, Science fiction, Thriller fiction",1943-04-08,,"The Fog (novel), The Rats (novel)"
James Kelman,Stream of consciousness,1946-06-09,,"A Disaffection, How Late It Was, How Late, Kieron Smith, Boy"
James Krüss,Children's literature,1926-05-31,,Timm Thaler (novel)
James Lowder,"Dark fantasy, Horror fiction",1963-01-02,,Knight of the Black Rose
James M. Ward,"Fantasy, Role-playing game",1951-05-23,English,"Deities & Demigods, Gamma World, Greyhawk Adventures, Metamorphosis Alpha, Pool of Radiance (novel)"
James McBride (writer),Memoir; screenplay,1957-09-11,,"The Color of Water, The Good Lord Bird"
James Merrill,American poetry,1926-03-03,,"Divine Comedies, The Changing Light at Sandover"
James Patrick Kelly,"Fantasy, Science fiction",1951-04-11,,"10^16 to 1, Burn (novella), Think Like a Dinosaur"
James Patterson,"Comedy, Mystery fiction, Realistic fiction, Romance novel, Science fiction, Thriller (genre), Young adult fiction",1947-03-22,,"Alex Cross (novel series), I Funny, Maximum Ride, Michael Bennett (book series), Middle School: The Worst Years of My Life, Women's Murder Club (book series)"
James Ransome (illustrator),Picture books,1961-09-25,English,Before She Was Harriet
James Robert Baker,Satire,1947-10-18,,Tim and Pete
James Still (playwright),"Comedy, Drama",1959-05-31,United States,"The Little Bear Movie, The Velocity of Gary"
James Thurber,Gag cartoon,1894-12-08,,"My Life and Hard Times, My World and Welcome to It (book), The Catbird Seat, The Secret Life of Walter Mitty"
James White (author),Science fiction,1928-04-07,,"Second Ending, Sector General, The Escape Orbit"
Jamie Ford,"Literary fiction, historical fiction, speculative fiction",1968-07-09,English,Hotel on the Corner of Bitter and Sweet
Jamie O'Neill,Historical fiction,1962-01-01,Irish people,"At Swim, Two Boys"
Jamie Scallion,Young-adult novels,1978-11-01,,The Rock 'n' Roll Diaries
Jan Mark,Children's literature,1943-06-22,British people,"Handles (novel), Thunder and Lightnings"
Jan Neruda,Literary realism,1834-07-10,Czechs,Povídky malostranské
Jan Pieńkowski,Movable books,1936-08-08,,"Meg and Mog, Pop-up book"
Jan de Hartog,"Non-fiction, Creative non-fiction, and fiction",1914-04-22,,"The Captain (1967 novel), The Peaceable Kingdom: An American Saga"
Jandy Nelson,"Children's books, Novels, Teenager",1965-11-25,,"I'll Give You the Sun, The Sky Is Everywhere"
Jane Roberts,Paranormal,1929-05-08,,"The Oversoul Seven Trilogy, The Seth Material"
Jane Rule,"Essays, Fiction, Non-fiction",1931-03-28,,Desert of the Heart
Jane Wells Webb Loudon,Science fiction,1807-08-19,,The Mummy!
Jane Werner Watson,Children's literature,1915-07-11,,Little Golden Books
Janet Fitch,Literary Fiction,1955-11-09,,White Oleander
Janet Kitz,"Canadian history, History of Nova Scotia",1930-01-12,Canadians,Shattered City: The Halifax Explosion and the Road to Recovery
Janez Menart,"lyrical, narrative, and satirical poetry",1929-09-29,,English poetry
Janice Galloway,"general fiction, nonfiction, poetry, collaborative text",1955-12-02,,The Trick is to Keep Breathing (novel)
Janice Hally,Television drama,1959-03-18,,"Machair (TV series), Take the High Road"
Janny Wurts,Fantasy,1953-12-10,,"Empire trilogy, Wars of Light and Shadow"
Janosch,Children's picture books,1931-03-11,,Janoschs Traumstunde
Jaroslav Hašek,Historical,1883-04-30,,The Good Soldier Švejk
Jason Pargin,Satire,1975-01-10,English,John Dies at the End
Jason Reynolds,Young adult fiction,1983-12-06,English,Miles Morales
Jay Asher,Young adult fiction,1975-09-30,,Thirteen Reasons Why
Jay Curtis (writer),"Poetry, comedy",1950-04-03,,Disasterpiece Theatre
Jay Pinkerton,"Comedy, video games",1977-06-15,Canadians,"Half-Life: Alyx, Portal 2, Team Fortress 2"
Jay Williams (author),"History, Science fiction",1914-05-31,,Danny Dunn
Jean Dufaux,Comic books,1949-06-07,Belgians,Jessica Blandy
Jean François Foppens,"ecclesiastical history, literary biography and bibliography",1689-11-17,Latin,Brussels
Jean Genet,"Absurdist fiction, Erotic literature, Theatre, Theatre of Cruelty",1910-12-19,,"Our Lady of the Flowers, The Balcony, The Maids, The Thief's Journal"
Jean M. Auel,Fiction,1936-02-18,,Earth's Children
Jean Racine,"Comedy, Tragedy",1639-12-21,,"Andromaque, Athalie, Phèdre"
Jean Rhys,"Modernism, Postmodernism",1890-08-24,,"Good Morning, Midnight (Rhys novel), Wide Sargasso Sea"
Jean Stafford,Literary fiction,1915-07-01,,The Mountain Lion
Jean de Brunhoff,Children's literature,1899-12-09,,Babar the Elephant
Jean-Baptiste Benoît Eyriès,Gothic fiction,1767-06-24,French language,Fantasmagoriana
Jean-Philippe Blondel,"Young Adult, Fiction",1964-10-16,"French, English",The 6:41 to Paris
